ID	num_scaff_leaves	num_synth_leaves	num_splits	num_informative_input_trees	num_noninformative_overlapping_input_trees	inf_tree_ids	noninf_tree_ids
ott1028829	2	478	0	0	11		tree_ot_2085@tree1.tre,tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_773@tree1.tre,tree_ot_500@tree1.tre,tree_ot_531@tree1.tre,tree_pg_2913@tree6741.tre,tree_ot_116@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1028835	2	8	0	0	7		tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_500@tree1.tre,tree_pg_2416@tree3.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1031170	2	2	0	0	6		tree_ot_2019@tree12.tre,tree_ot_2179@tree1.tre,tree_ot_2182@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1031587	2	2	0	0	7		tree_ot_2146@tree1.tre,tree_ot_2013@tree8.tre,tree_ot_290@tree1.tre,tree_ot_531@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1032057	2	8	0	0	7		tree_ot_2228@tree1.tre,tree_ot_655@tree1.tre,tree_pg_2913@tree6741.tre,tree_pg_2444@tree6526.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1032064	3	5	2	1	5	tree_ot_2228@tree1.tre	tree_pg_2850@tree6620.tre,tree_pg_2444@tree6526.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1032639	4	4	3	1	5	tree_ot_2015@tree5.tre	tree_ot_290@tree1.tre,tree_ot_841@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1034651	2	3	0	0	5		tree_ot_2186@tree1.tre,tree_pg_1887@tree6629.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1035862	3	15	2	1	4	tree_ot_809@tree2.tre	tree_ot_2186@tree1.tre,tree_pg_2913@tree6741.tre,tree_ot_521@tree1.tre,TAXONOMY
ott1036004	2	2	0	0	5		tree_ot_2015@tree5.tre,tree_ot_290@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1036185	150	576	491	8	2	tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_500@tree1.tre,tree_ot_2186@tree1.tre,tree_pg_1887@tree6629.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY	tree_ot_531@tree1.tre,tree_pg_2913@tree6741.tre
ott1039520	4	5	12	4	5	tree_ot_2154@tree1.tre,tree_ot_837@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_500@tree1.tre,tree_ot_531@tree1.tre,TAXONOMY
ott1040400	8	18	21	3	1	tree_pg_2853@tree6624.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	TAXONOMY
ott1040900	27	45	54	3	6	tree_ot_121@tree7.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_500@tree1.tre,tree_ot_531@tree1.tre,tree_pg_2913@tree6741.tre,TAXONOMY
ott1040908	3	12	10	5	5	tree_ot_2018@tree8.tre,tree_ot_2154@tree1.tre,tree_ot_837@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_1055@tree1.tre,tree_ot_500@tree1.tre,tree_ot_531@tree1.tre,tree_pg_2913@tree6741.tre,TAXONOMY
ott1041027	31	57	60	4	6	tree_ot_2015@tree5.tre,tree_pg_2890@tree6701.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2013@tree8.tre,tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_290@tree1.tre,tree_ot_531@tree1.tre,TAXONOMY
ott1041422	3	3	6	3	3	tree_ot_121@tree7.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,TAXONOMY
ott1041423	2	4	0	0	7		tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_531@tree1.tre,tree_ot_121@tree7.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1041549	2	2	0	0	5		tree_ot_2015@tree5.tre,tree_ot_290@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1044513	2	2	0	0	5		tree_ot_2015@tree5.tre,tree_ot_290@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1044515	3	6	6	3	3	tree_ot_2015@tree5.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_290@tree1.tre,tree_ot_843@tree3.tre,TAXONOMY
ott1044949	6	6	14	3	1	tree_ot_2141@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	TAXONOMY
ott1050055	2	2	0	0	2		tree_ot_2154@tree1.tre,TAXONOMY
ott1050156	3	4	6	3	1	tree_ot_2145@tree2.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	TAXONOMY
ott1052338	2	2	0	0	7		tree_ot_2085@tree1.tre,tree_ot_773@tree1.tre,tree_ot_116@tree1.tre,tree_ot_867@tree2.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1054558	8	16	22	4	11	tree_ot_2158@tree1.tre,tree_ot_520@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2079@tree1.tre,tree_ot_2013@tree8.tre,tree_ot_783@tree1.tre,tree_ot_290@tree1.tre,tree_ot_531@tree1.tre,tree_pg_2913@tree6742.tre,tree_ot_847@tree1.tre,tree_ot_836@tree1.tre,tree_ot_782@Tr48736.tre,tree_pg_2404@tree5068.tre,TAXONOMY
ott1054564	2	5	0	0	14		tree_ot_2158@tree1.tre,tree_ot_2013@tree8.tre,tree_ot_520@tree1.tre,tree_ot_783@tree1.tre,tree_ot_290@tree1.tre,tree_ot_531@tree1.tre,tree_pg_2913@tree6742.tre,tree_ot_847@tree1.tre,tree_ot_836@tree1.tre,tree_ot_782@Tr48736.tre,tree_pg_2404@tree5068.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1058847	28	72	164	12	8	tree_ot_2158@tree1.tre,tree_ot_2079@tree1.tre,tree_ot_520@tree1.tre,tree_ot_290@tree1.tre,tree_pg_2015@tree4152.tre,tree_ot_763@tree1.tre,tree_ot_823@tree1.tre,tree_ot_855@tree1.tre,tree_pg_2404@tree5068.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY	tree_ot_2013@tree8.tre,tree_ot_2018@tree8.tre,tree_ot_783@tree1.tre,tree_ot_500@tree1.tre,tree_ot_531@tree1.tre,tree_ot_841@tree1.tre,tree_ot_869@tree1.tre,tree_ot_782@Tr48736.tre
ott1061824	2	4	0	0	6		tree_ot_2146@tree1.tre,tree_ot_2079@tree1.tre,tree_ot_290@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1065603	3	4	6	3	2	tree_ot_2015@tree5.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_290@tree1.tre,TAXONOMY
ott1065605	7	59	15	3	8	tree_ot_116@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2085@tree1.tre,tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_773@tree1.tre,tree_ot_500@tree1.tre,tree_ot_531@tree1.tre,tree_pg_2913@tree6741.tre,TAXONOMY
ott1065611	18	44	57	4	5	tree_ot_147@tree1.tre,tree_ot_838@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_500@tree1.tre,tree_ot_531@tree1.tre,TAXONOMY
ott1068257	3	12	6	3	3	tree_ot_156@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2019@tree13.tre,tree_ot_531@tree1.tre,TAXONOMY
ott1068261	7	19	17	3	4	tree_ot_152@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2018@tree8.tre,tree_ot_500@tree1.tre,tree_ot_156@tree1.tre,TAXONOMY
ott106898	4	7	5	2	8	tree_ot_2179@tree1.tre,tree_ot_2182@tree1.tre	tree_ot_2019@tree12.tre,tree_ot_2013@tree8.tre,tree_ot_783@tree1.tre,tree_ot_290@tree1.tre,tree_pg_2913@tree6742.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott107064	4	5	12	5	5	tree_ot_2079@tree1.tre,tree_ot_2104@tree1.tre,tree_ot_815@tree2.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2018@tree8.tre,tree_ot_290@tree1.tre,tree_ot_500@tree1.tre,tree_pg_2015@tree4152.tre,TAXONOMY
ott107080	5	5	10	3	2	tree_ot_2104@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2079@tree1.tre,TAXONOMY
ott1073079	3	4	6	3	1	tree_ot_2234@tree8.tre,tree_ot_2179@tree1.tre,tree_pg_1586@tree3208.tre	TAXONOMY
ott1073494	2	2	0	0	3		tree_pg_2876@tree6670.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1076202	2	7	0	0	11		tree_ot_2179@tree1.tre,tree_ot_2013@tree8.tre,tree_ot_290@tree1.tre,tree_ot_532@tree1.tre,tree_pg_2913@tree6742.tre,tree_ot_412@Tr77157.tre,tree_pg_1586@tree3208.tre,tree_pg_2015@tree4152.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1078300	4	5	9	3	1	tree_pg_2853@tree6624.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	TAXONOMY
ott1078304	2	3	0	0	4		tree_pg_2853@tree6624.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1078308	2	4	0	0	4		tree_pg_2853@tree6624.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1078410	5	6	12	4	1	tree_ot_2141@tree1.tre,tree_ot_144@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	TAXONOMY
ott1080868	4	11	12	4	3	tree_ot_2141@tree1.tre,tree_ot_816@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2018@tree8.tre,tree_ot_500@tree1.tre,TAXONOMY
ott1080870	3	5	4	2	3	tree_ot_2141@tree1.tre,tree_ot_816@tree1.tre	tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1083041	4	5	12	4	2	tree_ot_179@tree1.tre,tree_ot_180@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_290@tree1.tre,TAXONOMY
ott1083285	3	3	2	1	4	tree_ot_2015@tree5.tre	tree_ot_290@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott108564	2	2	0	0	3		tree_ot_2145@tree2.tre,tree_ot_162@tree1.tre,TAXONOMY
ott108566	10	13	18	2	5	tree_ot_2145@tree2.tre,tree_ot_162@tree1.tre	tree_pg_2806@tree6529.tre,tree_pg_2805@tree6512.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1092197	3	6	4	2	2	tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_139@tree1.tre,TAXONOMY
ott1092341	2	3	0	0	12		tree_ot_2158@tree1.tre,tree_ot_2013@tree8.tre,tree_ot_520@tree1.tre,tree_ot_783@tree1.tre,tree_ot_290@tree1.tre,tree_ot_531@tree1.tre,tree_ot_757@Tr70438.tre,tree_ot_855@tree1.tre,tree_pg_2404@tree5068.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott109305	5	7	12	3	3	tree_ot_1043@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2156@tree3.tre,tree_ot_290@tree1.tre,TAXONOMY
ott109306	2	3	0	0	9		tree_ot_2146@tree1.tre,tree_ot_2156@tree3.tre,tree_ot_2013@tree8.tre,tree_ot_1043@tree1.tre,tree_ot_783@tree1.tre,tree_ot_290@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott1093579	4	10	7	3	8	tree_ot_1043@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2146@tree1.tre,tree_ot_2013@tree8.tre,tree_ot_783@tree1.tre,tree_ot_290@tree1.tre,tree_ot_531@tree1.tre,tree_ot_782@Tr48736.tre,tree_pg_2404@tree5068.tre,TAXONOMY
ott1098755	4	7	14	5	4	tree_ot_753@tree1.tre,tree_ot_425@tree1.tre,tree_pg_2804@tree6511.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2072@tree2.tre,tree_ot_2018@tree8.tre,tree_ot_1002@tree1.tre,TAXONOMY
ott109892	11	17	34	5	7	tree_ot_2170@tree3.tre,tree_ot_425@tree1.tre,tree_pg_2804@tree6511.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2072@tree2.tre,tree_ot_2018@tree8.tre,tree_ot_753@tree1.tre,tree_ot_1002@tree1.tre,tree_ot_500@tree1.tre,tree_ot_119@tree1.tre,TAXONOMY
ott109893	30	84	158	10	5	tree_ot_2072@tree2.tre,tree_ot_2018@tree8.tre,tree_ot_2170@tree3.tre,tree_ot_425@tree1.tre,tree_pg_2804@tree6511.tre,tree_ot_120@tree1.tre,tree_ot_119@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY	tree_ot_1055@tree1.tre,tree_ot_753@tree1.tre,tree_ot_1002@tree1.tre,tree_ot_500@tree1.tre,tree_ot_531@tree1.tre
ott125774	2	4	0	0	4		tree_pg_2853@tree6624.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott126789	4	10	7	3	2	tree_ot_2015@tree5.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_290@tree1.tre,TAXONOMY
ott129403	5	8	13	4	1	tree_ot_2141@tree1.tre,tree_ot_1997@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	TAXONOMY
ott129405	4	5	12	4	6	tree_ot_2015@tree5.tre,tree_pg_2796@tree6491.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_290@tree1.tre,tree_ot_532@tree1.tre,tree_pg_2015@tree4152.tre,TAXONOMY
ott129407	4	13	3	1	5	tree_ot_2015@tree5.tre	tree_ot_290@tree1.tre,tree_ot_843@tree3.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott134529	5	6	8	3	2	tree_ot_2015@tree5.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_290@tree1.tre,TAXONOMY
ott134538	4	4	9	3	2	tree_ot_2015@tree5.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_290@tree1.tre,TAXONOMY
ott134632	2	3	0	0	6		tree_ot_2015@tree5.tre,tree_ot_290@tree1.tre,tree_pg_2796@tree6491.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott135287	2	2	0	0	7		tree_ot_2018@tree8.tre,tree_ot_731@tree2.tre,tree_pg_2866@tree6656.tre,tree_ot_1022@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott135928	38	62	114	5	4	tree_ot_2145@tree2.tre,tree_ot_161@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY	tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_pg_2805@tree6512.tre,tree_pg_1979@tree6300.tre
ott136022	9	11	25	4	5	tree_ot_834@tree1.tre,tree_ot_178@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2013@tree8.tre,tree_ot_783@tree1.tre,tree_ot_290@tree1.tre,tree_ot_532@tree1.tre,TAXONOMY
ott136024	2	2	0	0	5		tree_ot_290@tree1.tre,tree_ot_178@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott136029	9	11	43	6	2	tree_ot_532@tree1.tre,tree_ot_412@Tr77157.tre,tree_ot_176@tree1.tre,tree_ot_178@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_290@tree1.tre,TAXONOMY
ott140298	6	16	14	3	3	tree_pg_2866@tree6656.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_pg_2860@tree6646.tre,tree_ot_1022@tree1.tre,TAXONOMY
ott140435	3	25	6	3	7	tree_ot_2158@tree1.tre,tree_ot_520@tree1.tre,tree_ot_863@tree2.tre	tree_ot_290@tree1.tre,tree_ot_532@tree1.tre,tree_pg_2913@tree6742.tre,tree_ot_412@Tr77157.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott140436	3	9	6	3	10	tree_ot_2158@tree1.tre,tree_ot_520@tree1.tre,tree_ot_863@tree2.tre	tree_ot_2018@tree8.tre,tree_ot_1055@tree1.tre,tree_ot_290@tree1.tre,tree_ot_532@tree1.tre,tree_pg_2913@tree6742.tre,tree_ot_111@tree1.tre,tree_ot_412@Tr77157.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott140441	2	3	0	0	8		tree_ot_2158@tree1.tre,tree_ot_2013@tree8.tre,tree_ot_520@tree1.tre,tree_ot_290@tree1.tre,tree_pg_2913@tree6742.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott142238	2	3	0	0	6		tree_ot_2015@tree5.tre,tree_ot_290@tree1.tre,tree_ot_843@tree3.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott144510	2	4	0	0	4		tree_pg_2853@tree6624.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott145557	6	6	15	3	3	tree_ot_2145@tree2.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_pg_2806@tree6529.tre,tree_pg_2805@tree6512.tre,TAXONOMY
ott149821	3	3	2	1	6	tree_ot_2017@tree1.tre	tree_ot_504@tree3.tre,tree_ot_794@tree2.tre,tree_ot_159@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott149824	2	4	0	0	8		tree_ot_2017@tree1.tre,tree_ot_504@tree3.tre,tree_pg_2913@tree6741.tre,tree_ot_794@tree2.tre,tree_ot_159@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott150517	2	2	0	0	5		tree_ot_2154@tree1.tre,tree_ot_148@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre,TAXONOMY
ott150638	3	7	4	2	3	tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_770@tree1.tre,tree_pg_2591@tree6024.tre,TAXONOMY
ott152571	8	8	15	3	3	tree_ot_2167@tree1.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2019@tree15.tre,tree_ot_290@tree1.tre,TAXONOMY
ott153576	3	4	10	5	4	tree_ot_753@tree1.tre,tree_ot_425@tree1.tre,tree_pg_2804@tree6511.tre,tree_ot_521@tree1.tre,tree_ot_809@tree2.tre	tree_ot_2072@tree2.tre,tree_ot_2018@tree8.tre,tree_ot_1002@tree1.tre,TAXONOMY
